"originCity","meanSatisfaction","observationCount","lat","lon","stateAbb","stateName"
"Aberdeen, SD",3.53333333333333,15,45.4649805,-98.487813,"SD","south dakota"
"Abilene, TX",3.42424242424242,66,32.44645,-99.7475905,"TX","texas"
"Adak Island, AK",2.66666666666667,3,51.7961654,-176.573491643196,"AK","alaska"
"Akron, OH",3.25,168,41.083064,-81.518485,"OH","ohio"
"Albany, GA",3.45,20,31.5782062,-84.1556809,"GA","georgia"
"Albany, NY",3.33928571428571,168,42.6511674,-73.754968,"NY","new york"
"Albuquerque, NM",3.42424242424242,561,35.0841034,-106.6509851,"NM","new mexico"
"Alexandria, LA",3.38028169014085,71,31.311248,-92.4449087,"LA","louisiana"
"Allentown/Bethlehem/Easton, PA",3.1025641025641,39,40.6511631,-75.442253868383,"PA","pennsylvania"
"Alpena, MI",3.4,20,45.0176181,-83.6670019,"MI","michigan"
"Amarillo, TX",3.3109756097561,164,35.2072185,-101.8338246,"TX","texas"
"Anchorage, AK",3.4984984984985,333,61.2163129,-149.8948523,"AK","alaska"
"Appleton, WI",3.45283018867925,53,44.2611337,-88.4067604,"WI","wisconsin"
"Arcata/Eureka, CA",3.22222222222222,72,40.859464,-124.05534120722,"CA","california"
"Asheville, NC",3.26865671641791,67,35.6009498,-82.5540161,"NC","north carolina"
"Aspen, CO",3.37383177570093,214,39.1911128,-106.8235606,"CO","colorado"
"Atlanta, GA",3.39700996677741,8428,33.7490987,-84.3901849,"GA","georgia"
"Augusta, GA",3.62121212121212,66,33.4709714,-81.9748429,"GA","georgia"
"Austin, TX",3.38984881209503,926,30.2711286,-97.7436995,"TX","texas"
"Bakersfield, CA",3.40449438202247,89,35.3738712,-119.0194639,"CA","california"
"Baltimore, MD",3.35652615540884,1969,39.2908816,-76.610759,"MD","maryland"
"Bangor, ME",3.5,14,29.0659229,-110.97133,"ME","maine"
"Barrow, AK",3.3,20,71.3864521,-156.4821312,"AK","alaska"
"Baton Rouge, LA",3.35858585858586,198,30.4459596,-91.18738,"LA","louisiana"
"Beaumont/Port Arthur, TX",3.54166666666667,24,29.901651,-93.974199,"TX","texas"
"Bellingham, WA",3.75,28,48.7544012,-122.4788361,"WA","washington"
"Bemidji, MN",3.76470588235294,17,47.4785418,-94.8907869,"MN","minnesota"
"Bend/Redmond, OR",3.40845070422535,71,44.2165084,-121.2150324,"OR","oregon"
"Bethel, AK",3.47826086956522,23,60.7922222,-161.7558333,"AK","alaska"
"Billings, MT",3.47435897435897,78,45.7874957,-108.49607,"MT","montana"
"Birmingham, AL",3.40251572327044,318,33.5206824,-86.8024326,"AL","alabama"
"Bismarck/Mandan, ND",3.34375,32,46.8101709,-100.8363564,"ND","north dakota"
"Bloomington/Normal, IL",3.1830985915493,71,40.508752,-88.9844947,"IL","illinois"
"Boise, ID",3.35802469135802,243,43.6166163,-116.200886,"ID","idaho"
"Boston, MA",3.36636245110821,2301,42.3602534,-71.0582912,"MA","massachusetts"
"Bozeman, MT",3.37974683544304,79,45.6794293,-111.0440474,"MT","montana"
"Brainerd, MN",3.42857142857143,21,46.3580221,-94.2008288,"MN","minnesota"
"Branson, MO",3.125,24,36.6411357,-93.2175285,"MO","missouri"
"Bristol/Johnson City/Kingsport, TN",3.27777777777778,54,36.295107,-82.347083,"TN","tennessee"
"Brownsville, TX",3.22222222222222,45,25.9140256,-97.4890856,"TX","texas"
"Brunswick, GA",3.44444444444444,27,31.1499528,-81.4914894,"GA","georgia"
"Buffalo, NY",3.38186813186813,364,42.8867166,-78.8783922,"NY","new york"
"Burbank, CA",3.36165577342048,459,34.1816482,-118.3258554,"CA","california"
"Burlington, VT",3.19298245614035,57,44.4762975,-73.2135472,"VT","vermont"
"Butte, MT",3.35294117647059,17,46.0131505,-112.5365089,"MT","montana"
"Carlsbad, CA",3.34042553191489,47,33.1580933,-117.3505966,"CA","california"
"Casper, WY",3.38775510204082,49,42.866632,-106.313081,"WY","wyoming"
"Cedar City, UT",3.42857142857143,14,37.6774238,-113.0618277,"UT","utah"
"Cedar Rapids/Iowa City, IA",3.41666666666667,132,41.9758872,-91.6704053,"IA","iowa"
"Champaign/Urbana, IL",3.14035087719298,57,40.1157948,-88.241194,"IL","illinois"
"Charleston, SC",3.39759036144578,249,32.7876012,-79.9402728,"SC","south carolina"
"Charleston/Dunbar, WV",3.41666666666667,60,38.3616659,-81.7207214,"WV","west virginia"
"Charlotte, NC",3.4117873651772,2596,35.2270869,-80.8431268,"NC","north carolina"
"Charlottesville, VA",3.28571428571429,28,38.029306,-78.4766781,"VA","virginia"
"Chattanooga, TN",3.51190476190476,84,35.0457219,-85.3094883,"TN","tennessee"
"Chicago, IL",3.33372595210051,7641,41.8755616,-87.6244212,"IL","illinois"
"Chico, CA",3.47619047619048,21,45.5484418,-73.5428,"CA","california"
"Cincinnati, OH",3.37299771167048,437,39.1014537,-84.5124602,"OH","ohio"
"Cleveland, OH",3.36524822695035,846,41.5051613,-81.6934446,"OH","ohio"
"Cody, WY",3.5,18,44.5263107,-109.0563923,"WY","wyoming"
"College Station/Bryan, TX",3.40677966101695,59,30.669727,-96.336353,"TX","texas"
"Colorado Springs, CO",3.29850746268657,201,38.8339578,-104.8253485,"CO","colorado"
"Columbia, MO",3.27586206896552,29,38.951883,-92.3337366,"MO","missouri"
"Columbia, SC",3.40645161290323,155,34.0007493,-81.0343313,"SC","south carolina"
"Columbus, GA",3.63636363636364,22,32.4609764,-84.9877094,"GA","georgia"
"Columbus, MS",3.65,20,33.4956744,-88.4272627,"MS","mississippi"
"Columbus, OH",3.29935275080906,618,39.9622601,-83.0007065,"OH","ohio"
"Cordova, AK",3.46153846153846,13,60.5439444,-145.7589103,"AK","alaska"
"Corpus Christi, TX",3.35810810810811,148,27.7477253,-97.4014129,"TX","texas"
"Crescent City, CA",3.76666666666667,30,41.8528065,-124.149861983096,"CA","california"
"Dallas, TX",3.35871559633028,1090,32.7762719,-96.7968559,"TX","texas"
"Dallas/Fort Worth, TX",3.3872674791533,6236,32.737242,-97.232572,"TX","texas"
"Dayton, OH",3.32467532467532,231,39.7589478,-84.1916069,"OH","ohio"
